game_pk,season,official_date,game_date,game_type,away_team_id,away_team,away_score,home_team_id,home_team,home_score,home_win,total_runs,run_diff_home
778359,2025,2025-04-12,2025-04-12,R,118,Kansas City Royals,3,114,Cleveland Guardians,6,1,9,3
778362,2025,2025-04-12,2025-04-12,R,141,Toronto Blue Jays,4,110,Baltimore Orioles,5,1,9,1
778329,2025,2025-04-13,2025-04-13,R,108,Los Angeles Angels,3,117,Houston Astros,7,1,10,4
778330,2025,2025-04-13,2025-04-13,R,115,Colorado Rockies,0,135,San Diego Padres,6,1,6,6
778331,2025,2025-04-13,2025-04-13,R,112,Chicago Cubs,4,119,Los Angeles Dodgers,2,0,6,-2
778332,2025,2025-04-13,2025-04-13,R,158,Milwaukee Brewers,2,109,Arizona Diamondbacks,5,1,7,3
778333,2025,2025-04-13,2025-04-13,R,121,New York Mets,8,133,Athletics,0,0,8,-8
778334,2025,2025-04-13,2025-04-13,R,140,Texas Rangers,1,136,Seattle Mariners,3,1,4,2
778335,2025,2025-04-13,2025-04-13,R,116,Detroit Tigers,1,142,Minnesota Twins,5,1,6,4
778336,2025,2025-04-13,2025-04-13,R,143,Philadelphia Phillies,0,138,St. Louis Cardinals,7,1,7,7
778337,2025,2025-04-13,2025-04-13,R,120,Washington Nationals,4,146,Miami Marlins,11,1,15,7
778338,2025,2025-04-13,2025-04-13,R,111,Boston Red Sox,3,145,Chicago White Sox,1,0,4,-2
778339,2025,2025-04-13,2025-04-13,R,137,San Francisco Giants,5,147,New York Yankees,4,0,9,-1
778340,2025,2025-04-13,2025-04-13,R,144,Atlanta Braves,3,139,Tampa Bay Rays,8,1,11,5
778342,2025,2025-04-13,2025-04-13,R,118,Kansas City Royals,4,114,Cleveland Guardians,2,0,6,-2
778343,2025,2025-04-13,2025-04-13,R,134,Pittsburgh Pirates,0,113,Cincinnati Reds,4,1,4,4
778344,2025,2025-04-13,2025-04-13,R,141,Toronto Blue Jays,7,110,Baltimore Orioles,6,0,13,-1
778315,2025,2025-04-14,2025-04-14,R,112,Chicago Cubs,4,135,San Diego Padres,10,1,14,6
778320,2025,2025-04-14,2025-04-14,R,137,San Francisco Giants,10,143,Philadelphia Phillies,4,0,14,-6
778321,2025,2025-04-14,2025-04-14,R,120,Washington Nationals,3,134,Pittsburgh Pirates,10,1,13,7
778322,2025,2025-04-14,2025-04-14,R,144,Atlanta Braves,8,141,Toronto Blue Jays,4,0,12,-4
778323,2025,2025-04-14,2025-04-14,R,116,Detroit Tigers,9,158,Milwaukee Brewers,1,0,10,-8
778324,2025,2025-04-14,2025-04-14,R,121,New York Mets,5,142,Minnesota Twins,1,0,6,-4
778325,2025,2025-04-14,2025-04-14,R,117,Houston Astros,3,138,St. Louis Cardinals,8,1,11,5
778326,2025,2025-04-14,2025-04-14,R,115,Colorado Rockies,3,119,Los Angeles Dodgers,5,1,8,2
778327,2025,2025-04-14,2025-04-14,R,118,Kansas City Royals,1,147,New York Yankees,4,1,5,3
778328,2025,2025-04-14,2025-04-14,R,111,Boston Red Sox,1,139,Tampa Bay Rays,16,1,17,15
778302,2025,2025-04-15,2025-04-15,R,115,Colorado Rockies,2,119,Los Angeles Dodgers,6,1,8,4
778305,2025,2025-04-15,2025-04-15,R,112,Chicago Cubs,2,135,San Diego Padres,1,0,3,-1
778306,2025,2025-04-15,2025-04-15,R,108,Los Angeles Angels,0,140,Texas Rangers,4,1,4,4
778307,2025,2025-04-15,2025-04-15,R,121,New York Mets,3,142,Minnesota Twins,6,1,9,3
778308,2025,2025-04-15,2025-04-15,R,117,Houston Astros,2,138,St. Louis Cardinals,0,0,2,-2
778309,2025,2025-04-15,2025-04-15,R,133,Athletics,12,145,Chicago White Sox,3,0,15,-9
