game_pk,official_date,away_id,away_score,home_id,home_score
778314,2025-04-15,120,3,134,0
778316,2025-04-15,136,4,113,8
778318,2025-04-15,109,10,146,4
778313,2025-04-15,137,4,143,6
778317,2025-04-15,114,6,110,3
778319,2025-04-15,111,7,139,4
778312,2025-04-15,118,2,147,4
778311,2025-04-15,144,3,141,6
778307,2025-04-15,121,3,142,6
778309,2025-04-15,133,12,145,3
778310,2025-04-15,116,0,158,5
778308,2025-04-15,117,2,138,0
778306,2025-04-15,108,0,140,4
778305,2025-04-15,112,2,135,1
778302,2025-04-15,115,2,119,6
778297,2025-04-16,144,1,141,3
778299,2025-04-16,121,3,142,4
778295,2025-04-16,116,1,158,5
778290,2025-04-16,117,1,138,4
778288,2025-04-16,112,2,135,4
778301,2025-04-16,114,1,110,9
778293,2025-04-16,120,1,134,6
778304,2025-04-16,136,5,113,3
778303,2025-04-16,109,6,146,2
778296,2025-04-16,137,11,143,4
778298,2025-04-16,111,1,139,0
778300,2025-04-16,118,3,147,4
778294,2025-04-16,133,3,145,1
778289,2025-04-16,108,1,140,3
778287,2025-04-16,115,7,119,8
778291,2025-04-17,109,6,146,4
778280,2025-04-17,120,0,134,1
778285,2025-04-17,136,11,113,7
778283,2025-04-17,133,8,145,0
778279,2025-04-17,137,4,143,6
778292,2025-04-17,114,2,110,6
778286,2025-04-17,118,1,116,6
778282,2025-04-17,147,6,139,3
778278,2025-04-17,138,1,121,4
778281,2025-04-17,108,3,140,5
778268,2025-04-18,109,11,112,13
778277,2025-04-18,118,3,116,7
778271,2025-04-18,114,10,134,7
778274,2025-04-18,146,2,143,7
778276,2025-04-18,113,8,110,3
778272,2025-04-18,147,1,139,0
778273,2025-04-18,136,1,141,3
778270,2025-04-18,138,4,121,5
778275,2025-04-18,145,3,111,10
778284,2025-04-18,142,4,144,6
778263,2025-04-18,119,3,140,0
778269,2025-04-18,135,4,117,6
778261,2025-04-18,133,3,158,5
778260,2025-04-18,137,0,108,2
778252,2025-04-19,146,10,143,11
778265,2025-04-19,118,1,116,3
778257,2025-04-19,109,2,112,6
778258,2025-04-19,136,8,141,4
778262,2025-04-19,113,5,110,9
778254,2025-04-19,114,3,134,0
778256,2025-04-19,138,0,121,3
778251,2025-04-19,119,3,140,4
778247,2025-04-19,120,12,115,11
778264,2025-04-19,145,3,111,4
778255,2025-04-19,147,8,139,10
778259,2025-04-19,135,2,117,3
778253,2025-04-19,133,3,158,1
778267,2025-04-19,142,3,144,4
778243,2025-04-19,137,3,108,2
778250,2025-04-20,113,24,110,2
778242,2025-04-20,114,5,134,4
778249,2025-04-20,142,2,144,6
778245,2025-04-20,145,8,111,4
778248,2025-04-20,146,7,143,5
778241,2025-04-20,136,8,141,3
778246,2025-04-20,118,4,116,3
778244,2025-04-20,138,4,121,7
778240,2025-04-20,147,4,139,0
778239,2025-04-20,133,1,158,14
778236,2025-04-20,109,3,112,2
778234,2025-04-20,119,1,140,0
778235,2025-04-20,120,3,115,2
778266,2025-04-20,120,1,115,3
778232,2025-04-20,137,4,108,5
778237,2025-04-20,135,3,117,2
778238,2025-04-21,145,2,111,4
778227,2025-04-21,147,4,114,6
778228,2025-04-21,135,4,116,6
778230,2025-04-21,113,3,146,6
778225,2025-04-21,143,4,121,5
778233,2025-04-21,138,6,144,7
778231,2025-04-21,141,0,117,7
778226,2025-04-21,158,2,137,5
778218,2025-04-22,147,2,114,3
778221,2025-04-22,135,2,116,0
778219,2025-04-22,113,3,146,4
778222,2025-04-22,110,0,120,7
778224,2025-04-22,136,3,111,8
778223,2025-04-22,143,1,121,5
778229,2025-04-22,138,10,144,4
778215,2025-04-22,115,3,118,4
778220,2025-04-22,119,10,112,11
778216,2025-04-22,145,2,142,4
778217,2025-04-22,141,1,117,5
778211,2025-04-22,134,9,108,3
778212,2025-04-22,139,1,109,5
778210,2025-04-22,158,11,137,3
778213,2025-04-22,140,8,133,5
778214,2025-04-23,138,1,144,4
778209,2025-04-23,135,0,116,6
778203,2025-04-23,143,3,121,4
778208,2025-04-23,113,5,146,2
778206,2025-04-23,147,5,114,1
778204,2025-04-23,110,3,120,4
778207,2025-04-23,136,8,111,5
778205,2025-04-23,119,6,112,7
778200,2025-04-23,141,1,117,3
778201,2025-04-23,145,3,142,6
778202,2025-04-23,134,3,108,0
778199,2025-04-23,139,7,109,6
778198,2025-04-23,158,2,137,4
778197,2025-04-23,140,2,133,5
778189,2025-04-24,145,3,142,0
778196,2025-04-24,136,4,111,3
778190,2025-04-24,115,4,118,7
778195,2025-04-24,115,2,118,6
778194,2025-04-24,158,5,137,6
778193,2025-04-24,110,2,120,1
778191,2025-04-24,134,3,108,4
778188,2025-04-24,139,7,109,4
778192,2025-04-24,140,3,133,4
778182,2025-04-25,143,0,112,4
778183,2025-04-25,121,4,120,5
778185,2025-04-25,141,4,147,2
778187,2025-04-25,117,0,118,2
778186,2025-04-25,108,4,142,11
778184,2025-04-25,158,2,138,3
778181,2025-04-25,113,8,115,7
778172,2025-04-25,139,1,135,0
778177,2025-04-25,144,8,109,2
778175,2025-04-25,146,8,136,4
778178,2025-04-25,145,5,133,6
778176,2025-04-25,134,3,119,0
778171,2025-04-25,140,2,137,0
778179,2025-04-26,111,4,114,5
778169,2025-04-26,111,7,114,3
778168,2025-04-26,110,3,116,4
778180,2025-04-26,110,2,116,6
778166,2025-04-26,108,1,142,5
778164,2025-04-26,158,5,138,6
778161,2025-04-26,113,6,115,4
778173,2025-04-26,121,2,120,0
778159,2025-04-26,140,2,137,3
778174,2025-04-26,143,10,112,4
778165,2025-04-26,145,10,133,3
778167,2025-04-26,117,0,118,2
778162,2025-04-26,144,8,109,7
778160,2025-04-26,139,4,135,1
778163,2025-04-26,134,4,119,8
778154,2025-04-26,146,0,136,14
778153,2025-04-27,121,7,120,8
778156,2025-04-27,141,2,147,11
778170,2025-04-27,141,1,147,5
778157,2025-04-27,111,13,114,3
778155,2025-04-27,110,0,116,7
778144,2025-04-27,108,0,142,5
778152,2025-04-27,117,7,118,3
778150,2025-04-27,158,7,138,1
778148,2025-04-27,113,8,115,1
778151,2025-04-27,140,2,137,3
778149,2025-04-27,145,2,133,3
778145,2025-04-27,134,2,119,9
778146,2025-04-27,139,4,135,2
778147,2025-04-27,144,4,109,6
778136,2025-04-27,146,6,136,7
778158,2025-04-27,143,3,112,1
778138,2025-04-28,121,19,120,5
778139,2025-04-28,142,11,114,1
778140,2025-04-28,147,3,110,4
778141,2025-04-28,138,1,113,3
778143,2025-04-28,133,2,140,1
778142,2025-04-28,116,5,117,8
778137,2025-04-28,144,6,115,3
778132,2025-04-28,146,6,119,7
778129,2025-04-29,142,1,114,2
778133,2025-04-29,147,15,110,3
778135,2025-04-29,112,9,134,0
778131,2025-04-29,120,6,143,7
778128,2025-04-29,118,3,139,1
778127,2025-04-29,111,10,141,2
778130,2025-04-29,109,3,121,8
778125,2025-04-29,158,7,145,2
778122,2025-04-29,133,2,140,15
778124,2025-04-29,116,4,117,6
778120,2025-04-29,144,8,115,2
778121,2025-04-29,108,3,136,5
778126,2025-04-29,137,4,135,7
778123,2025-04-29,146,2,119,15
778134,2025-04-30,138,6,113,0
778119,2025-04-30,138,9,113,1
778110,2025-04-30,116,7,117,4
778102,2025-04-30,144,1,115,2
778109,2025-04-30,146,7,119,12
778104,2025-04-30,108,3,136,9
778105,2025-04-30,137,3,135,5
778116,2025-04-30,142,2,114,4
778115,2025-04-30,147,4,110,5
778112,2025-04-30,112,3,134,4
778118,2025-04-30,120,2,143,7
778113,2025-04-30,118,3,139,0
778114,2025-04-30,111,6,141,7
778117,2025-04-30,109,4,121,3
